ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,,,S,,4b,"Since it didn't have much affect on B at a certain point to produce more A, I figured it was better to have a lot of A and less of B rather than just a little bit but even amount of each",
,,I,,,C,,5a,i was trying to balance the amount of A and B that were produced,
,,I,,,S,,5b,"i tried to produce more of A because if you produce a lot of B, almost no A is produced but some of B can still be produced while making a moderate amount of A",
,,I,,,S,,6a,i tried to produce more of B and less of A in this round,
,,I,,,C,,6b,I used this stratregy because i got to a point where at least some of A was being produced with a lot of B,
,,I,,,C,,7a,i was trying to produce the most of each one ,
,,,,,,,7b,because it said higher amounts of A B and C are all desirable,
,,,,,,,8a,i was trying to produce the most of at least 2,
,,,,,,,8b,because they are all desirable to have more,
,,I,,,C,,9a,i was trying to produce a decent amount of each,
,,I,,,S,,9b,because it said all 3 were desirable but there were tradeoffs so one had to be generated less,
250166,d,I,,,,,1a,I was trying to maximize A. I looked at all of the examples to see how much A was produced according to the number on the scale. It seems like if the number was 10 it maximized A.,
,,,,,,,1b,I used this strategy because I think using prior data and examples is a good way to make decisions if you do not have that much information.,
,,I,,,,,2a,I saw that the amount of A seemed to be only affected by the first slider bar so I set that one to 10 because it was the most A. I also set the second slider bar to 10.,
,,I,S,,,,2b,I used this strategy because I knew that in the examples they showed that the first slider made the decision on amount of A but I set the second to 10 too just in case because the example only had both slider bars at 10 so I think it was best to follow that example.,
,,,S,,,,3a,I put all three slider bars at 10.,
,,I,,,,,3b,"In the example, when all three slider bars were at 10, A was maximized.",
,,I,,,S,,4a,I the slider bar to 10 which made a high level of A and a low level of B.,
,,I,,,S,,4b,I wanted to choose one variable that would be maximized. I felt since people have different opinions on which is better that it would be more beneficial to have very high levels of at least one variable so you are efficient in that aspect instead of have mediocre levels of both A and B.,
,,I,,D,S,,5a,I set both slider bars to 10 because in the example it seemed like only the first bar had an affect on the graph. I wanted to maximize one variable which was A because the levers didn't seem to have an effect on B.,
,,I,,,S,,5b,"I set both slider bars to 10 because I knew that the first lever would have an effect on the graph but wasn't sure about the second. In the example, A was maximized when both levers were set to 10 so I decided to set both to 10 just in case.",
,,I,,,S,,6a,"I wanted to maximize one variable so I set all three levers to 10 because in the example, when all three levers were at 10, A was maximized.",
,,I,,,S,,6b,I wanted to maximize one variable instead of having moderate levels of both because people have different opinions on which is better so I would have everybody supporting me who thinks A is better instead of no one supporting me because the levels are moderate on both.,
,,I,C,,,,7a,I was confused by this decision. I couldn't tell what the level of C was. I wanted to choose a level where B and C were both high.,
,,I,,,S,,7b,I wanted B and C to both be high because they are unrelated so they would not have an inverse effect on one another and I can have high levels of two out of three variables.,
,,I,,,S,,8a,I wanted to maximize B and C.,
,,I,,,S,,8b,The graph when the levers were at 1 and 2 it seemed like B and C were both high. B and C are unrelated so I wanted to maximize both.,
,,I,,,S,,9a,Wanted to maximize B and C. Seemed like they were both high when the levers were in this position.,
,,I,S,,S,,9b,Better to maximize B and C because they are unrelated and I wanted high levels of two out of three variables.,
250167,a,I,,,,,1a,I was trying to create the most economic benefits for my company.,
,,I,S,,,,1b,I maxed out waste because it would produce the greatest economic benefit for my company.,
,,I,,,,,2a,"Create more economic benefits (more waste) in the beginning 50 years, then taper off in the last 50 years.",
,,I,S,,,,2b,"Economic benefits is more important in the first few years of operation because without them, future business is not guaranteed.",
,,I,S,,,,3a,"Maximize economic benefits in the first third, then slowly taper off by 1/3 waste in the next two periods. ",
,,I,S,O,,,3b,"Same as before, except this time waste was divided so waste would be divided into three. Maximize economic benefits in the first period for a strong foundation because the same amount of waste does not produce as much benefit in later periods.",
,,I,,,C,,4a,I was trying not to lose out on too much economic benefits while also preserving the water quality.,
,,I,S,,T,,4b,"I noticed that between 0.027 and 0.028, there is a significant difference between water quality for the same amount of economic benefit, with 0.027 having the much better water quality. Therefore it made sense to me that 0.027 is the golden number.",
,,I,S,,,,5a,Economic benefits in the first period are more important than the second period.,
,,I,,,,,5b,"I tried to preserve water quality in the first period like last time, but this time it seemed to make no difference how well it was preserved if the sacrifice was made for only one of the years because water quality was very sensitive to the waste -- a small change in waste caused a huge drop in quality. Thus, here it was not worth sacrificing economic benefits for.",
,,I,S,,S,,6a,Economic benefit was my focus for this decision.,
,,I,S,,S,,6b,"For the first year, economic benefits were most volatile, thus I set the waste level high; I would have set it to a lower number like 0.3 in year 1, but it seemed that even the slightest increase in waste for the second and third years would destroy the water quality. So, I focused on economic benefit in this case.",
,,I,,,T,,7a,"I was trying to find the point where little sacrifice in one variable will lead to a huge difference (for the better) in the other variables. Unfortunately, I had to sacrifice a lot of economic gain in this case, but it was for better reliability which is permanent, so I chose this number over the one right above it.",
,,I,,,S,,7b,"I chose this strategy because I weighed reliability as the most important variable. It was permanent consequences for everybody in the town, so that is why I based my decision mostly on how much I could maximize reliability. ",
,,I,,Sd,C,,8a,"I wanted to maximize reliability in the first set of years, and then maximize economic benefit in the second set.",
,,I,S,,T,,8b,"I used this strategy because reliability was my first priority, but after that it was about how much I could move along the economic benefits axis while limiting a drop in the reliability axis.",
,,I,,,C,,9a,"I start from the first set of years before moving on to the others, in order. I try to find the point where I could gain a lot in one dimension without sacrificing too much in the other (here, the two variables that were important were reliability and economic benefits). This time, after finishing my choices for all three in order, I went back to adjust them again.",
,,I,S,,C,,9b,"I chose this strategy because reliability is the first important thing to consider. After that, I adjusted the sliders such that I would gain the most economic benefits without sacrificing too much reliability.",
250168,c,I,S,O,C,,1a,I was trying to get the highest amount of A but not be completely at 10 on the slider bar.,
,,I,S,O,C,,1b,"Higher values are better but looking at the paper graph example, the higher up has more waste/year.",
,,I,S,,,,2a,Have high values of A but have period 2 be a little higher than period 1,
,,I,S,O,C,,2b,To get high values of A but not have the bars all the way at 10 because of waste so somewhere a little past the middle,
,,I,,,,,3a,I tried to get A all the way to the top with a little variation in each period,
,,I,,,,,3b,I think A has to be the max it can go but without the slider bars being over,
,,I,S,,C,,4a,I found a spot where the orange ball is between A and B,
,,I,S,,C,,4b,2.8 was the value where A and B looked most even since they affect eachother,
,,I,,,C,,5a,I was trying to get the orange dot in the middle of A and B,
,,I,S,,C,,5b,At 3.3 and 1.9 the orange dot was in the middle of A and B,
,,I,,,C,,6a,I was trying to get the orange dot in between A and B,
,,I,S,,C,,6b,"At 3.4, .2 and .7, the orange dot was in the middle of A and B",
,,I,,,C,,7a,"I was trying to get the orange dot in between A, B and C",
,,I,,Sd,C,,7b,Because all the letters affect each other but B and C don't so I was looking for something in the middle,
,,I,,,C,,8a,"I was trying to get the orange dot in the middle between A, B and C",
,,I,S,,C,,8b,I didn't want A or B or C to be too high so I adjusted the bars until I found something where the orange dot looked like it was relatively in the middle,
,,I,,,,,9a,I wanted a high value of A but also had a lower value of C,
,,,,,,,9b,B and C don't relate,
250169,b,I,S,O,C,,1a,"Given the visualization of the data, I decided it would be beneficial to the town to keep the economic benefits of the factory in the top half of the bar. The 0.7 example seemed a bit too much waste for the lake, so I lowered it to 0.6 in an attempt to maximize benefit while minimizing waste.",
,,I,S,O,C,,1b,"The 0.7 example seemed a bit too much waste for the lake, so I lowered it to 0.6 in an attempt to maximize benefit while minimizing waste.",
,,I,,O,C,,2a,"Attempting to keep above halfway while trying to minimize waste, but also trying to minimize waste in the long run.",
,,I,,O,C,,2b,As an environmental planner it should be my goal to reduce waste over time. At the same time I don't want this to reduce economic benefits. I raised the initial waste to 0.7 to compensate for the reduced half of the time frame.,
,,I,S,O,C,,3a,Maintain economic benefits while gradually reducing waste.,
,,I,S,O,C,,3b,reducing waste by .03 every 33 years (starting high to maintain the economy) seemed like a reasonable goal.,
,,I,S,,C,,4a,Prioritize water quality while trying to maximize economic benefits,
,,I,S,,T,,4b,I saw from the example that there was a sharp drop in water quality around 0.3 and that the quality from 0.0 to 0.2 from the same (high) and that the quality from 0.3 to 1.0 was the same (low). I assumed that the quality would be about halfway up around 0.25 on the sharp drop between 0.2 and 0.3. This was the maximum economic benefit achievable with a passing water quality.,
,,I,S,,C,,5a,"Get maximum values for quality and benefits, prioritizing quality.",
,,I,,,C,,5b,the 0.5/0.2 example provided a near square for benefits and quality. As a environmental planner I wanted to give a slight priority to the lake so I lowered the 0.5 to 0.045. I also had the 0.5 first in the spirit of reducing waste over time.,
,,I,,,C,,6a,Attempting to keep water quality where I've been keeping while maximizing economic benefit and gradually reducing waste.,
,,I,S,,,,6b,As an environmental planner I want to gradually reduce waste and keep the water quality high.,
,,I,S,,C,,7a,Prioritize Reliability and quality while maximizing benefit.,
,,I,S,,C,,7b,0.1 and 0.2 hurt benefits too much. 0.5 hurt reliability and quality way too much so 0.35 was chosen as a happy medium.,
,,I,S,,C,,8a,Prioritize reliability and quality while maximize benefits,
,,I,S,,C,,8b,The 0.2/0.5 example looked good in reliability and benefits but a little too harsh on quality so it was lowered to 0.045/0.2,
,,I,S,,C,,9a,Prioritize reliability and quality while maximizing benefits.,
,,I,S,,C,,9b,The 0.5/0.2/0.1 example looked good but benefits were a little too low. The second interval was raised to compensate and the overall was lowered to help quality.,
250170,d,I,S,,,,1a,"I went through the examples to see what settings produced the maximum amount of A, and at setting 10 I was able to do just that.",
,,,,,,,1b,I used this strategy because I had no other information given to me other than examples of which settings produced which results. ,
,,I,S,,,,2a,"I was trying to maximize A by using two slider bars. Again, I went through the examples of what settings produced which results, and based my decision on the information provided.",
,,,,,,,2b,"I chose this strategy because no other information except the examples was given to me. Also, there was no cost in maximizing the two bars. ",
,,I,,,,,3a,I am trying to maximize A using the three levers. I used previous examples in order to make my decision.,
,,,,,,,3b,"I used this strategy because this was all of the information provided to me. Also, there was no cost in maximizing the setting on the levers. ",
,,I,S,,C,,4a,"My strategy was to find the mid point on the scale such that both A and B would benefit equally. Higher settings made A bigger, while lower ones made B bigger.",
,,I,,,C,,4b,I chose this strategy because I wanted there to be no other optimal situation to benefit both A and B. My slider scale choice reflects what I feel is the most efficient and beneficial choice for A and B.,
,,I,,,C,,5a,"I used the examples to see how the sliders worked. Then, I tried to created a combination with those sliders so that both A and B benefited equally. ",
,,I,,,C,,5b,I chose this strategy because I wanted there to be no other efficient combination of scale settings so that that is the optimal combination to maximize A and B. ,
,,I,,,C,,6a,I was trying to maximize A and B equally without there being any better combination of scale settings. I used previous examples to see how the scales worked.,
,,I,,,C,,6b,I used this strategy because I did not want there to be any other combination of scale settings that would maximize A and B equally. I wanted there to be one and sought to find that combination. ,
,,,,,C,,7a,I was using the examples and trying to find a setting on the bar that maximized all three settings as best as possible.,
,,,C,,,,7b,I used this strategy because I had no other information about the variable's interactions except the examples. Setting 3 in my opinion seemed to be the best option. ,
,,,,D,,,8a,"My strategy was to figure out which lever controlled which outcome, using the examples provided. ",
,,,,Sd,,,8b,"I used this strategy because I wanted to see which lever controlled what, and then I would base my decision on that. Since A affects C, but is irrelevant for C, I wanted to see the relationship between B and C. They seemed to react favorably when I moved the bottom lever to lower number, while A reacted favorably when I moved the top lever higher. ",
,,I,,,C,,9a,"My strategy was to use the examples and figure out which letters reacted to which levers, in order to maximize all three letters.",
,,I,,,C,,9b,"I chose this strategy because although they have a unique relationship, they react interestingly to the lever settings. I wanted there to be no other combination that would maximize all three letters. ",
250174,d,,,,,,1a,increase the bar in A,
,,I,S,,,,1b,moved the slider until the bar went up in A,
,,I,S,,,,2a,maximize a ,
,,,,,,,2b,tried extremes of both and intervals in between to find optimal condition,
,,I,,,,,3a,Maximize a across 6 different options,
,,,,D,,,3b,adjusted different setting and seemed to be each option was the same so just set to original,
,,I,,,C,,4a,"saw that b was favored to start, tried to utilize slider to even things out",
,,I,,,S,,4b,utilized small intervals to try to cater more towards A,
,,I,,,C,,5a,viewed all options tried to get closer to b/a equal,
,,I,S,,,,5b,Moved slider into my opinion on the optimal a/b position,
,,,,D,,,6a,determine which bars impact a or b,
,,,S,,,,6b,max 2 and 3 increases A. min of 1 increases B,
,,I,,,C,,7a,attempt to maximize all three,
,,I,S,,,,7b,tested each out and picked what i believe to give the most optimal option,
,,,,,,,8a,see which slider impacts letters differently,
,,,S,,,,8b,minimize period 1 increases a and b. maximize period 2 increases c,
,,,,D,,,9a,Changes slides to see which slider maximized which option,
,,,S,,,,9b,min 1 will max C. max 2 and 3 will max A and B,
250175,a,I,S,,,,1a,I was trying to increase economic benefit as much as possible which meant raising the amount of waster per year.,
,,I,S,,,,1b,"I used this strategy because in order to achieve the goal of maximizing economic benefit, there needs to be more waste released. ",
,,I,S,,,,2a,I increased waste over both periods of time to achieve the goal of maximizing economic benefit.,
,,I,S,,,,2b,"This seemed like the only way according to the bar, to maximize economic benefit.",
,,I,S,,,,3a,"I noticed the the third time period has less of an effect on economic benefit, so i was able to decrease it a very small amount without having an impact on economic benefit.",
,,I,S,O,C,,3b,I used this strategy because it still achieves the goal of maximizing economic benefit while releasing slightly less waste.,
,,I,S,,C,,4a,I picked a point that provides the highest water quality for a small cost in economic benefit. ,
,,I,S,,C,,4b,I used this strategy because adding any more economic benefit would greatly decrease the quality of water. This way you keep as much economic benefit you can in order to also keep the water quality high.,
,,I,S,,T,,5a,"Here, I tried to maximize the water quality while also earning some economic benefit. There is a level of economic benefit where the water quality drops very quickly. I picked the point right before the water quality drops. ",
,,I,S,,C,,5b,I did this to maximize water quality while also getting as much economic benefit as possible.,
,,I,S,,T,,6a,"I noticed there is a point where, to maximize water quality, that economic benefit doesn't vary much even with highly varying levels of water quality. ",
,,I,S,,C,,6b,I used this strategy to maximize the water quality while trying to keep economic benefit as high as possible.,
,,I,S,,C,,7a,"My strategy was to have an equal balance of reliability, economic benefit, and water quality.",
,,I,S,,C,,7b,I chose this strategy so that the chances of algae growing are not too high and there are also reasonable levels of economic benefit and water quality. ,
,,I,S,,S,,8a,This strategy kept reliability high as well as water control since these can both permanently affect the lake. The economic benefits were lower but not too low.  ,
,,I,S,,C,,8b,I used this strategy because it seemed like the best way to keep two factors maximized while keeping the third at a level that is not too low.,
,,I,S,,S,,9a,This strategy maximizes water control and reliability while still trying to maximize economic benefit. Maximizing economic benefit is the lowest priority.,
,,I,S,,S,,9b,I used this strategy because economic benefit does not have a permanent effect on the lake whereas the other two factors do. ,
260201,a,I,,,,,1a,I was trying to bring the most economic benefits to the factory in order to benefit the workers.,
,,I,S,Am,,,1b,"With more economic benefits, the workers can make more money, and there is always a way to still clean the lake and filter the waste going in with extra money.",
,,I,S,,,,2a,Make the best situation economically for the factory.,
,,I,S,Am,,,2b,"With more money coming in, more jobs can be created/workers can bed paid more. The factory can also find ways to filter waste and keep the lake clean still if they have to.",
,,,,,,,3a,I made the waste deposited increase over time but a little more gradually.,
,,I,S,Am,,,3b,"Over time, they can figure out ways to still filter the waste/keep the lake clean while also helping the factory and people benefit from the high economic income the factory is getting. ",
,,I,S,,,,4a,Help the factory and workers make the most amount of money.,
,,I,S,,,,4b,"After a certain point the water quality was super high, but the economic benefit was very low. After this point, the water quality dropped drastically and then was on a very gradual decline. During this gradual decline, economic benefits were high. If water quality was only declining very gradually, where it was almost the same level throughout the entire change in waste deposited, it made sense to bring the factory to the highest level of economic benefit.",
,,I,S,,C,,5a,Keeping economic benefits high while paying attention to water quality.,
,,I,S,Am,S,,5b,"Water quality can only stay very high is economic benefit is very low. I found a point where water quality was pretty much staying the same no matter how much waste was released, and with high economic benefits. With high economic benefits, it can help the workers and the town, and they can find other ways to keep the lake clean.",
,,I,S,,C,,6a,Increase economic benefits as much as possible while still keeping water quality in mind.,
,,I,S,Am,S,,6b,"Water quality can only be high if economic benefit is very low, so I found where economic benefit can be high but water quality only drops at a gradual rate. With high economic benefits, it can help the workers and a town, and they can find alternative methods to keep the lake clean.",
,,I,,,C,,7a,"Trying to balance out all three factors as much as possible, with still having high economic benefits.",
,,I,,,C,,7b,"High economic benefits for the factory are important for the town, but having some good water quality could keep the lake clean for a longer amount of time. Some reliability is reassuring as well.",
,,I,S,,C,,8a,keep economic benefits as high as possible without ruining the Lake completely.,
,,I,S,,,,8b,Economic benefits are the most helpful to the town in the long run. ,
,,I,S,,,,9a,Keep economic benefits as high as possible without water quality and reliability being at 0.,
,,I,S,Am,,,9b,"Economic benefits are the best for the town, and in 100 years they can find other ways to keep the Lake clean, but without a good economy, they will barely be a town.",
260202,c,I,S,,,,1a,"I was trying to maximize A, so I could see that the bar (symbolizing the amount of A) increased as I moved the slider to the right. So I moved it all the way to the right to maximize the amount of A.",
,,I,S,,,,1b,"To get the most A possible, I experimented with the slider to see what it changed and then chose the position that represented the most ""A"".",
,,I,S,,,,2a,"I did the same thing as last time, experimenting with both sliders to see what they did and then chose the positions that maximized the amount of A",
,,I,S,,,,2b,I wanted to maximize the amount of A.,
,,I,S,,,,3a,"I did the same thing as last time, experimenting with the scales to see what they changed and then chose the positions that maximized the amount of A",
,,I,S,,,,3b,To maximize the amount of A,
,,I,,,C,,4a,"So I played with the slider a bit because I wanted a balance between A and B. However, if I chose the exact balance between A and B, you didn't get much of either. So then I looked to see if I maximized A, I barely got any B. But, if I maximized B, I got more A than I would've B if I maximized A. So that was my decision making process. ",
,,I,,,C,,4b,"I used this strategy because I was trying to get the most of A and B together, but a compromise wasn't possible. ",
,,I,,,C,,5a,I tried to maximize B in the first period and maximize A in the second to hopefully result in the highest amount of both of them in the end.,
,,I,,,C,,5b,I was looking for a compromise between A and B to try and maximize both. ,
,,I,C,,C,,6a,"I didn't really understand this one, but I tried maxing out B in the first period and then making up for that by maxing out A in the next two ",
,,I,C,,C,,6b,I didn't know what I was doing but I tried to get the best compromise that I could,
,,I,,,C,,7a,"I tried to maximize C because that one didn't change the other two, while also trying to maintain a balance between A and B",
,,,,Sd,,,7b,because C doesn't affect the others so you can maximize it without taking away from the other two,
,,I,,,C,,8a,I tried to maximize B and C in the first part and then maximize A in the second to maintain a balance,
,,I,C,,C,,8b,I didn't really know what to do - so I'm aiming for compromise,
,,,,,C,,9a,I tried to get the ball as centralized as I could,
,,I,,,C,,9b,I wanted each of them to be as high as they could,
260203,b,I,S,,,,1a,Maximize the economic benefits of the factory,
,,I,S,,,,1b,The decision asked for was to maximize the economic benefit and didn't have any downsides to factor in from the waste generated so I just did the max benefit,
,,I,S,,,,2a,I was trying to maximize the economic benefit through the two different years.,
,,I,,O,C,,2b,Based off the example amounts it appeared that more economic benefit came from releasing waste in the first set of years than the second set so I did slightly less for the second set because it didn't seem worth it pollute the lake for only a tiny bit of benefit,
,,I,,O,C,,3a,I wanted to maximize the economic benefit but also ensure the lake doesn't become too polluted,
,,I,,O,C,,3b,Based off the examples it seemed the first set of years had the most impact on economic benefit so I set that at the highest and then the second set had the next highest benefit and so on so I did slightly less for each set of years to ensure the lake survives,
,,I,,,C,,4a,I wanted to strike a balance between water quality and economic benefit in order to provide the town with a good economy but have the lake survive,
,,I,,,T,,4b,I used this strategy because I figured it would be optimal to strike a balance between the two. There was a significant drop between .02 and .03 in water quality as well as a significant economic benefit increase so I chose a point in between to try and achieve a balance,
,,I,,,C,,5a,"I wanted to maximize both water quality and economic benefits, slightly favoring economic benefits",
,,I,,,C,,5b,I felt it would allow the most profitable experience for the town. I tried to strike a good balance between the two,
,,I,,,C,,6a,I wanted to do less waste in the first set of years because that seems to affect it the most and then have higher amounts in the second set of years and then a middle ground for the third set of years,
,,I,,,C,,6b,I thought it would be a good balance between the water quality and economic benefit of the lake,
,,I,,,C,,7a,Tried to pick an amount that would balance out the three so as to not compromise on any of the three qualities,
,,I,,,C,,7b,I wanted to ensure the lake would remain useful but also bring benefits to the community,
,,I,,,C,,8a,I was trying to find a balance between the 3 aspects in order to maintain all three and keep the town running and benefiting economically,
,,I,,,C,,8b,I tried to balance out what I thought was the best way to balance the three based off the examples I tried to come up with a solution that would benefit everything,
,,I,,,C,,9a,I was trying to ensure the lake didn't become overrun with algae but also still stayed profitable for the town ,
,,,,,,,9b,I decided to try to find an example and then try to tweak it slightly hopefully to achieve a more optimal solution,
260204,d,I,,,,,1a,I was trying to make sure that A was at the highest it would be while trying to move the slider bar.,
,,I,,,,,1b,I used this strategy to help me increase the value of A,
,,I,,,,,2a,I was trying to use both sliders to improve the A bar/,
,,I,S,,,,2b,I used this strategy to make sure that both sliders provide an optimal solution,
,,I,S,,,,3a,I noticed that if two bars are the same and one is different it would increase A more than other ones,
,,I,S,,,,3b,I used this strategy while looking at the examples and following the same theory as the examples.,
,,I,,,,,4a,I looked at the examples to find out that I would need a low period to have a high B value,
,,I,S,,S,,4b,I used this since a high B was needed and a low A,
,,I,,,,,5a,I was trying to adjust both the sliders to an optimal level and noticed that it would happen if the first slider was lower than the second one,
,,I,,,,,5b,I used this to get a higher B,
,,,S,,,,6a,I noticed that having the same value of period 1 and 3 was ideal. But period 2 had to be lower than both 1 and 2.,
,,I,S,,S,,6b,I used this strategy to get the most out of B since A decreases B.,
,,I,,,S,,7a,I was trying to get the largest C value while having a desirable B value and a low A value. I adjusted the slider based on this.,
,,I,S,,,,7b,To get highest C value,
,,I,,D,S,,8a,I was trying to reduce A but have a high B and C. I adjusted the slider bars to an optimal level that favored this,
,,I,,D,S,,8b,I was trying to reduce A but have a high B and C since they are the most desirable.,
,,P,S,,,,9a,I used numbers that I felt were the most ideal and give the most payout,
,,I,S,,,,9b,I used this since it was giving the most C and B.,
260205,c,,,,,,1a,I was trying to fill up the orange bar all the way,
,,I,S,,,,1b,To get the higher A,
,,,,,,,2a,I was trying to fill the orange bar as high as it would go,
,,I,S,,,,2b,To get the highest A,
,,,,,,,3a,I tried to get the orange bar to go as high as possible,
,,I,S,,,,3b,To get the highest possible A,
,,I,,,C,,4a,I was trying to get the most out of A while not completely hurting B,
,,,,,T,,4b,The drop off between a high B and low A was a lot larger than going for a higher A and high B,
,,I,S,,C,,5a,Get a high A while minimizing the damage to B,
,,I,,,T,,5b,It was easier to increase the value of A without severely decreasing B,
,,I,S,,,,6a,Get a high A ,
,,I,S,,,,6b,The decrease in B while increasing A is a lot less noticeable than if I increased B,
,,I,S,,C,,7a,Get the most out of all 3,
,,I,S,,C,,7b,I feel it was better to maximize all 3 instead of just 1,
,,I,,,C,,8a,I tried to get the highest A and B,
,,I,S,,S,,8b,I felt it was better to have a maximum value for two of them instead of a mediocre value for all 3,
,,I,,,C,,9a,Tried to maximize the value of A and B,
,,I,S,,S,,9b,It is better to have 2 values at their maximum instead of all 3 at a mediocre value,
260206,d,I,C,,,,1a,I was trying to choose the setting that maximized A by period 10. I also checked if the setting of the slider affected each period differently. I did not find that the setting level had any effect,
,,I,S,,,,1b,I wanted to maximize A by the 10th period since my goal was to generate the most A,
,,,,,,,2a,I clicked through the example strategies to see the magnitude each level had on the total A. Period 2's level seemed to have less impact so I wanted to first maximize period 1. Then I would maximize period 2. The example strategy with having each level at 10 seemed to produce the most A at the end of the two periods.,
,,I,S,,,,2b,"My goal is to maximize A, and with the given example strategies, putting each level at 10 seemed like the optimal. I noticed period two had less impact on generating A though, but the there is not enough information on how much period 2 lever adds in total",
,,,,,,,3a,"Maximize total A. By clicking through example strategies, it appears period 1 has a greater effect than period 2. And period 2 has a greater effect than period 3. There is not enough information on the total amount each lever would add separately.",
,,I,S,,,,3b,"Based on the given information, putting each lever at 10 appears to create the most A",
,,I,,,T,,4a,"I want to find the place where both A and B are equal because that is when there is the lowest tradeoff between A and B. I noticed the levels drop significantly between 2 and 3 so I chose a number in the middle. Hopefully it would be on a 45 degree line from the origin, representing equal A and B",
,,I,S,,C,,4b,I want to reduce the tradeoff between A and B so the point should fall on a 45 degree line.,
,,I,S,,T,,5a,I wanted to see how each level affected A or B. It appears that Lever 1 affected A more and Lever 2 affected B more. There was a point on each level where there were drastic drops towards each A or B so I wanted again to fall on a 45 degree line,
,,I,S,,,,5b,Falling on a 45 degree line reduces the tradeoff between A and B. Figuring out which lever impacted A or B allowed me to adjust each level accordingly,
,,I,S,,C,,6a,"I want to see how each level affected A and B. It appeared that 1 had a larger impact than 3 on A, and lever 2 has the most control on B. I wanted to again fall on the 45 degree line to reduce tradeoff regardless of a person's preference",
,,I,S,,,,6b,"By falling on the 45 degree line, I can reduce the tradeoff regardless of people's preference.",
,,I,,,T,,7a,"I want to see if there are areas where there is a huge tradeoff for A, B, or C. I wanted to have one that evenly distributes across the three variables",
,,I,S,,C,,7b,"Evenly distributing across A, B, and C reduces tradeoff regardless of people's different preferences.",
,,I,C,,C,,8a,"I want to find a place that evenly distributed across A, B, and C. I had difficulty in determining the effect of each level on each variable",
,,I,S,,C,,8b,"Evenly distributing while trying to maximize each A, B, and C would result in choice where people' preference didn't matter too much since the trade off is minimal",
,,I,C,,C,,9a,"I want find a decision that is distributed evenly across A, B , and C. It was difficult figuring out which lever affect each variable and to what magnitude. It seemed like lever 2 affected C, but it would tough to determine how A and B were affected",
,,I,S,,C,,9b,A strategy that evenly distributes reduces the trade off between the three variable and caters to most people regardless of preference,
260207,b,I,,O,,,1a,I was trying to maximize the benefit while keeping waste down for heath reasons. ,
,,I,,,,,1b,I was trying to make a plan that would help the small town in years to come,
,,I,,,,,2a,I was trying to allocate the same amount of waste between the two year marks. I wanted to maximize economic benefits.,
,,I,S,,,,2b,I used this strategy in order to protect the town over 100 years. ,
,,I,,O,C,,3a,I was trying to maximize economic benefit while not over polluting the water.,
,,,,,,,3b,I followed the information given that seemed like the best plan over the period of time. ,
,,I,S,,C,,4a,I wanted to maintain water quality while producing economic benefits. ,
,,I,S,,C,,4b,I used this strategy in order to maintain the lake but generate revenue. ,
,,I,,,C,,5a,I was trying to distribute the waste fairly among the 100 years and not to over pollute the water. ,
,,,,,C,,5b,I looked at the information given and was trying to find a balance in the chart. ,
,,I,S,,C,,6a,I wanted to maintain water quality while having economic benefits. ,
,,I,,,C,,6b,I looked at the information given to me to try and find the options with the most economic benefit while keeping water quality at a reasonable level. ,
,,I,S,,C,,7a,I wanted to keep a healthy water quality while having an economic benefit.,
,,I,,,,,7b,I tried to keep in mind the other pollution that was entering the lake and the effect my decision would have.,
,,,S,,,,8a,I was comparing the different outcomes based on the data provided. ,
,,I,,,C,,8b,I wanted to try and make the best decision based on the information provided. I wanted to try and find an equal balance between water and economics. ,
,,I,,,C,,9a,I was trying to maintain water quality and limit waste as much as possible. ,
,,I,S,,C,,9b,I wanted to keep the water quality at a high level while having some economic benefits. ,
260208,a,I,S,,,,1a,reach the highest economic benefit,
,,,S,,,,1b,"by moving the slider to the right, the max wates disposal, it reaches its highest economic benefit. so I moved the slider to the highest waste disposal. ",
,,,,,,,2a,move waste slider to the most far right,
,,I,S,,,,2b,"by using the max waste produced/yr, it create the highest economic benefit, so I decide to produce the max waste and get max production while obtain the maximum economic benefit. ",
,,I,S,,,,3a,use maximum waste/yr to reach high economic benefit,
,,I,S,,,,3b,"by producing the maximum waste per year, it can create the maximum economic benefit.",
,,I,S,,,,4a,get max economic benefit and retain water quality,
,,I,S,,C,,4b,"since the outcome is measure by both economic benefit and water quality, so I lower the economic benefit for the some water quality, it's not much, but the water is somewhat enjoyable",
,,I,S,,T,,5a,"economic is more benefit than water quality, so move the first year to middle after the water quality had a significant decrease with little economic increase, and then use lower waste produce in second period to get some more economic benefit ",
,,I,S,,C,,5b,reach higher economic benefit and still have some water quality,
,,,S,,,,6a,"use maximum waste/yr in first period, and lower the waste for the next 2",
,,I,S,,T,,6b,"only the first period created the significant difference in economic benefit, and the rest two do not has such big effect. and they cannot save the water quality, from contaminated water. since the water quality kept in low, the way to get more, is to get more economic benefit.",
,,,S,,,,7a,keep relative low waste production,
,,I,S,,C,,7b,to keep at lease two component high ( water quality and reliability),
,,,S,,,,8a,use second period waste production but not produce the first period,
,,I,S,,C,,8b,"keep all three relatively enjoyable, if use more waste in first period, only get economic benefit but the other two, are close to 0. by changing the second period waste, we at least get some benefit with waster quality and reliability",
,,,S,,,,9a,"lowest waste in first 33 year, then increase the waste production over years. ",
,,,S,,C,,9b,reach relative balance in all 3 dimensions,
